,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bathsheba,13.22,-59.52,27.0,74,40,8.7,BB,1589704932
1,Puerto Ayora,-0.74,-90.35,22.78,93,0,1.98,EC,1589704933
2,Jijiga,9.35,42.8,23.93,62,63,5.63,ET,1589704933
3,Taoudenni,22.68,-3.98,30.32,13,0,5.71,ML,1589704933
4,Panalingaan,8.78,117.42,31.18,64,18,0.82,PH,1589704933
5,Hobart,-42.88,147.33,12.0,81,75,3.1,AU,1589704769
6,Ishigaki,24.34,124.16,27.0,83,75,5.1,JP,1589704934
7,Carnarvon,-24.87,113.63,25.53,34,84,6.08,AU,1589704934
8,The Pas,53.83,-101.25,11.0,62,90,6.2,CA,1589704732
9,Busselton,-33.65,115.33,17.22,39,100,4.46,AU,1589704934
10,Albany,42.6,-73.97,10.56,73,100,0.35,US,1589704934
11,Norman Wells,65.28,-126.83,-2.0,79,90,6.2,CA,1589704935
12,Polovinnoye,54.79,65.99,22.46,44,77,6.36,RU,1589704935
13,Lavrentiya,65.58,-171.0,-3.11,95,93,3.95,RU,1589704935
14,Raychikhinsk,49.78,129.41,17.07,37,1,3.13,RU,1589704935
15,San Luis,-33.3,-66.34,11.63,58,0,1.17,AR,1589704935
16,Arraial do Cabo,-22.97,-42.03,21.07,85,1,3.33,BR,1589704936
17,Saint Paul Harbor,57.79,-152.41,8.0,75,1,2.1,US,1589704936
18,Kabalo,-6.05,26.92,28.21,54,4,4.02,CD,1589704936
19,Fes,34.04,-5.0,18.0,68,0,2.1,MA,1589704936
20,Ponta do Sol,32.67,-17.1,18.0,52,75,3.1,PT,1589704936
21,Chui,-33.7,-53.46,15.14,78,11,4.81,UY,1589704937
22,Castro,-24.79,-50.01,8.26,55,0,0.34,BR,1589704937
23,Ekhabi,53.51,142.97,-0.08,97,95,7.49,RU,1589704937
24,Bluff,-46.6,168.33,10.43,89,0,3.97,NZ,1589704937
25,Fukuechō,32.69,128.84,20.0,94,75,3.1,JP,1589704938
26,Caravelas,-17.71,-39.25,21.37,94,100,5.02,BR,1589704938
27,Qaanaaq,77.48,-69.36,-3.41,83,0,1.98,GL,1589704938
28,Rikitea,-23.12,-134.97,25.06,85,100,4.46,PF,1589704938
29,Yangi Marg`ilon,40.43,71.72,24.0,31,100,3.1,UZ,1589704938
30,Punta Arenas,-53.15,-70.92,4.0,86,40,6.2,CL,1589704939
31,Vaini,-21.2,-175.2,22.0,88,75,2.6,TO,1589704939
32,Ca Mau,9.18,105.15,32.83,54,100,3.16,VN,1589704741
33,Taltal,-25.4,-70.48,13.71,76,52,1.18,CL,1589704939
34,Mataura,-46.19,168.86,6.09,92,0,0.68,NZ,1589704939
35,Butaritari,3.07,172.79,28.75,81,95,8.46,KI,1589704940
36,Belize,17.25,-88.75,25.56,78,64,1.12,BZ,1589704940
37,Imeni Poliny Osipenko,52.42,136.49,11.24,45,67,6.23,RU,1589704940
38,Coyhaique,-45.58,-72.07,6.0,87,100,1.5,CL,1589704940
40,Hobyo,5.35,48.53,32.49,53,0,9.44,SO,1589704941
41,Dikson,73.51,80.55,-0.29,98,88,6.14,RU,1589704941
42,Ushuaia,-54.8,-68.3,3.0,86,40,2.1,AR,1589704890
43,Cherskiy,68.75,161.3,7.65,55,0,5.71,RU,1589704941
44,Bredasdorp,-34.53,20.04,18.0,52,100,2.1,ZA,1589704941
45,Husavik,66.04,-17.34,4.0,60,90,6.2,IS,1589704941
46,Shimoda,34.67,138.95,21.0,83,75,2.6,JP,1589704942
47,Den Helder,52.96,4.76,15.56,71,21,3.1,NL,1589704942
48,Merauke,-8.47,140.33,27.36,79,97,7.57,ID,1589704942
49,Ribeira Grande,38.52,-28.7,16.0,77,20,3.6,PT,1589704942
50,Verāval,20.9,70.37,32.14,55,63,10.33,IN,1589704943
51,Zyryanka,65.75,150.85,4.97,83,60,8.7,RU,1589704944
52,Thunder Bay,48.4,-89.32,3.33,93,40,1.0,CA,1589704658
53,Srednekolymsk,67.45,153.68,12.12,41,0,6.88,RU,1589704944
54,Belorechensk,44.76,39.87,18.0,39,20,2.0,RU,1589704944
55,Province of Mantua,45.17,10.78,20.56,80,1,1.34,IT,1589704945
56,Iqaluit,63.75,-68.51,-3.0,86,20,1.0,CA,1589704945
57,Lagoa,39.05,-27.98,16.38,80,59,3.07,PT,1589704945
58,Kavieng,-2.57,150.8,29.06,78,4,5.51,PG,1589704946
59,Lebu,-37.62,-73.65,13.11,95,26,1.91,CL,1589704946
60,Hermanus,-34.42,19.23,16.11,74,100,0.45,ZA,1589704946
61,Kedrovyy,56.17,91.82,23.0,31,6,7.0,RU,1589704946
62,Mar del Plata,-38.0,-57.56,13.89,93,1,5.21,AR,1589704946
63,Saskylakh,71.92,114.08,1.56,97,100,2.58,RU,1589704947
64,Nouakchott,18.09,-15.98,23.0,27,0,7.7,MR,1589704820
65,Rawson,-43.3,-65.1,12.04,50,0,10.99,AR,1589704947
66,Porto Belo,-27.16,-48.55,13.89,79,0,2.8,BR,1589704947
67,Atuona,-9.8,-139.03,26.71,79,28,7.58,PF,1589704948
68,Erzin,36.96,36.2,35.0,22,24,2.68,TR,1589704948
69,Avarua,-21.21,-159.78,25.0,78,20,5.7,CK,1589704948
70,George Town,5.41,100.34,27.0,94,20,2.1,MY,1589704811
71,Aklavik,68.22,-135.01,-5.0,85,90,4.1,CA,1589704682
72,Saint George,37.1,-113.58,21.0,28,1,5.7,US,1589704948
73,Progreso,21.28,-89.67,27.22,78,40,5.7,MX,1589704949
74,Vila Franca do Campo,37.72,-25.43,17.0,93,75,2.1,PT,1589704949
75,Mulegé,26.88,-111.98,21.59,54,0,0.7,MX,1589704949
76,Pevek,69.7,170.31,-2.82,94,0,2.19,RU,1589704949
77,Vao,-22.67,167.48,22.09,79,100,8.08,NC,1589704949
78,Saldanha,-33.01,17.94,16.0,63,63,3.1,ZA,1589704950
79,Jamestown,42.1,-79.24,11.67,81,1,3.6,US,1589704751
80,Gawler,-34.6,138.73,16.11,67,0,1.79,AU,1589704950
81,Ucluelet,48.93,-125.55,12.22,93,94,2.04,CA,1589704950
82,Port Alfred,-33.59,26.89,20.0,63,0,2.14,ZA,1589704950
83,Nikolskoye,59.7,30.79,9.0,49,75,6.0,RU,1589704951
84,Cape Town,-33.93,18.42,20.0,63,100,1.5,ZA,1589704874
85,Eixo,40.63,-8.57,22.78,72,0,1.0,PT,1589704652
86,Cidreira,-30.18,-50.21,15.19,67,0,5.88,BR,1589704951
87,Hilo,19.73,-155.09,25.0,73,90,2.6,US,1589704951
88,Peringat,6.03,102.28,32.0,75,20,5.1,MY,1589704760
89,Ağdam,39.99,46.93,24.44,50,29,5.71,AZ,1589704952
90,Constitución,-35.33,-72.42,14.07,85,0,2.59,CL,1589704952
91,Nouadhibou,20.93,-17.03,19.0,59,0,9.3,MR,1589704952
92,Ilulissat,69.22,-51.1,4.0,38,0,8.7,GL,1589704952
93,Río Gallegos,-51.62,-69.22,3.0,86,64,5.1,AR,1589704952
94,Mildura,-34.2,142.15,16.0,48,0,2.6,AU,1589704953
95,Naliya,23.27,68.83,35.6,27,0,7.67,IN,1589704953
96,Dingle,11.0,122.67,31.4,66,30,3.47,PH,1589704953
97,Olinda,-8.01,-34.86,24.0,94,40,1.5,BR,1589704683
98,Muros,42.78,-9.06,17.22,69,2,0.45,ES,1589704954
99,Quatre Cocos,-20.21,57.76,27.78,69,20,4.1,MU,1589704954
100,Ulladulla,-35.35,150.47,13.33,93,0,2.1,AU,1589704954
101,Barrow,71.29,-156.79,-4.0,79,90,3.6,US,1589704954
102,Vári,37.83,23.81,32.22,47,100,1.5,GR,1589704954
103,Upernavik,72.79,-56.15,-1.3,96,1,1.01,GL,1589704955
104,Bayan,46.08,127.4,16.67,75,100,8.15,CN,1589704955
105,Puerto Guzmán,0.97,-76.59,21.12,88,77,0.54,CO,1589704955
106,Tiksi,71.69,128.87,-0.24,97,100,4.87,RU,1589704956
107,Tuatapere,-46.13,167.68,8.38,87,0,1.77,NZ,1589704956
108,Clyde River,70.47,-68.59,-10.0,78,1,3.6,CA,1589704956
109,Katsuura,35.13,140.3,25.0,61,40,6.2,JP,1589704842
110,Saint-Philippe,-21.36,55.77,27.0,61,1,4.1,RE,1589704956
111,Nishihara,26.18,127.76,28.0,74,90,7.7,JP,1589704957
112,Zemio,5.03,25.14,32.07,51,10,1.74,CF,1589704957
113,Jumla,29.27,82.18,21.11,93,0,0.45,NP,1589704957
114,Faanui,-16.48,-151.75,27.6,73,8,0.98,PF,1589704957
115,Uribia,11.71,-72.27,26.05,79,94,6.51,CO,1589704958
116,Pakse,15.12,105.78,29.0,79,75,1.0,LA,1589704958
117,Terekli-Mekteb,44.17,45.87,18.07,37,4,4.35,RU,1589704958
118,Longyearbyen,78.22,15.64,2.0,69,8,6.2,SJ,1589704958
119,Hasaki,35.73,140.83,23.89,64,40,4.6,JP,1589704958
120,Mount Isa,-20.73,139.5,26.0,22,40,5.1,AU,1589704959
121,Kapaa,22.08,-159.32,24.0,83,20,7.2,US,1589704959
122,Viedma,-40.81,-63.0,12.92,52,13,4.83,AR,1589704959
123,Cayenne,4.93,-52.33,26.0,88,98,4.66,GF,1589704959
124,Bengkulu,-3.8,102.27,29.11,81,99,1.48,ID,1589704960
125,Yellowknife,62.46,-114.35,-2.0,58,75,4.6,CA,1589704846
126,Omboué,-1.57,9.26,29.33,75,87,2.59,GA,1589704960
127,Necochea,-38.55,-58.74,14.63,75,2,5.61,AR,1589704919
128,Kashgar,39.45,75.98,24.0,23,100,3.0,CN,1589704960
129,Farmington,36.73,-108.22,12.22,30,1,3.6,US,1589704961
131,Eureka,40.8,-124.16,12.78,67,66,2.63,US,1589704866
132,Alaca,40.17,34.84,24.18,37,0,1.78,TR,1589704961
133,Preobrazheniye,42.9,133.91,7.19,81,98,6.09,RU,1589704961
134,Yarmouth,41.71,-70.23,8.89,81,1,1.17,US,1589704961
135,Znamenskoye,57.13,73.83,23.23,41,66,3.63,RU,1589704962
136,Thompson,55.74,-97.86,9.0,39,75,3.1,CA,1589704962
137,Halifax,44.65,-63.57,3.0,93,20,3.1,CA,1589704711
138,Acarí,-15.43,-74.62,17.78,58,36,0.76,PE,1589704962
139,Harper,4.38,-7.72,28.55,78,77,2.48,LR,1589704962
140,Severo-Kuril'sk,50.68,156.12,1.82,93,100,7.77,RU,1589704963
141,Kieta,-6.22,155.63,27.38,81,16,2.87,PG,1589704963
142,Umarkot,25.36,69.74,42.07,11,13,3.52,PK,1589704963
143,Camacha,33.08,-16.33,17.0,51,20,3.6,PT,1589704964
144,Atar,20.52,-13.05,25.56,20,0,7.11,MR,1589704964
145,Fairbanks,64.84,-147.72,5.0,38,1,3.1,US,1589704964
146,Fond du Lac,43.77,-88.44,13.0,71,90,2.1,US,1589704891
147,Samarai,-10.62,150.67,26.63,83,100,6.78,PG,1589704964
148,Vila,42.03,-8.16,16.67,68,1,0.89,PT,1589704964
149,Talnakh,69.49,88.4,4.0,93,75,8.0,RU,1589704965
150,Erin,36.32,-87.69,22.0,88,40,2.1,US,1589704965
151,Laguna,38.42,-121.42,17.0,72,90,3.1,US,1589704965
152,Port Hardy,50.7,-127.42,10.42,87,100,1.8,CA,1589704965
153,Nanortalik,60.14,-45.24,3.58,74,99,3.35,GL,1589704966
154,Svay Rieng,11.09,105.8,34.72,48,92,3.29,KH,1589704966
155,Teeli,51.03,90.23,21.54,34,23,0.96,RU,1589704966
156,Sitka,57.05,-135.33,11.0,76,1,2.1,US,1589704966
157,Kafanchan,9.58,8.3,27.8,69,55,2.71,NG,1589704967
159,Prince Rupert,54.32,-130.32,11.0,93,90,0.46,CA,1589704967
160,Boa Viagem,-5.13,-39.73,21.84,96,100,0.86,BR,1589704693
162,Mahébourg,-20.41,57.7,27.0,69,20,4.1,MU,1589704968
163,Kruisfontein,-34.0,24.73,21.3,25,66,2.28,ZA,1589704968
164,Mackenzie,55.3,-123.17,9.0,93,90,1.0,CA,1589704968
165,Zhigansk,66.77,123.37,4.5,99,100,3.46,RU,1589704968
166,Severnyy,50.68,36.55,17.0,36,54,5.0,RU,1589704969
167,Bawku,11.06,-0.24,33.56,43,25,4.7,GH,1589704969
168,Margate,51.38,1.39,15.56,68,4,0.45,GB,1589704969
169,Luís Correia,-2.88,-41.67,23.75,93,90,2.37,BR,1589704969
170,Laas,46.62,10.7,15.0,81,40,2.6,IT,1589704969
171,Junín,-34.58,-60.94,13.94,73,0,1.91,AR,1589704970
172,Cochrane,51.18,-114.47,11.11,61,75,3.6,CA,1589704970
173,Fortuna,40.6,-124.16,12.22,96,65,2.23,US,1589704872
174,Oleksandrivka,46.84,32.76,17.0,45,84,3.0,UA,1589704904
175,Narsaq,60.92,-46.05,7.0,24,98,11.3,GL,1589704971
176,Maïné Soroa,13.21,12.02,37.74,9,0,2.7,NE,1589704971
177,Flinders,-34.58,150.86,17.78,76,0,0.89,AU,1589704971
178,San Patricio,19.22,-104.7,20.9,60,0,1.57,MX,1589704971
179,Mezen',65.85,44.24,9.39,62,71,2.13,RU,1589704972
180,Palauig,15.44,119.9,30.05,73,36,2.8,PH,1589704972
181,Tura,25.52,90.22,37.33,28,6,1.46,IN,1589704805
182,Havre-St-Pierre,50.23,-63.6,3.0,89,90,3.6,CA,1589704972
183,Am Timan,11.03,20.28,36.76,31,13,4.32,TD,1589704973
184,Serafimovich,49.58,42.74,17.67,48,7,6.72,RU,1589704973
185,Berkåk,62.83,10.01,5.56,86,100,0.89,NO,1589704973
186,Maubin,16.73,95.65,37.0,50,75,5.1,MM,1589704973
187,Cabedelo,-6.98,-34.83,24.87,87,13,2.61,BR,1589704974
188,Las Vegas,36.17,-115.14,28.0,17,1,3.1,US,1589704543
189,Barão de Melgaço,-16.19,-55.97,18.0,88,67,0.5,BR,1589704974
190,Zadar,44.12,15.24,23.0,56,82,5.7,HR,1589704974
191,Mīnāb,27.15,57.08,34.0,56,0,4.1,IR,1589704714
192,Ahipara,-35.17,173.17,13.75,84,74,3.88,NZ,1589704975
193,Kivsharivka,49.62,37.7,17.78,53,52,6.17,UA,1589704975
194,Waingapu,-9.66,120.26,28.35,73,28,6.41,ID,1589704975
195,Tiarei,-17.53,-149.33,27.0,69,75,2.6,PF,1589704976
196,Grindavik,63.84,-22.43,6.0,68,75,6.2,IS,1589704976
197,Rensvik,63.1,7.82,4.0,86,100,8.2,NO,1589704976
198,East London,-33.02,27.91,22.0,40,0,1.5,ZA,1589704976
199,Geraldton,-28.77,114.6,22.0,68,98,10.8,AU,1589704977
200,Liepāja,56.54,21.04,9.0,76,100,8.7,LV,1589704977
201,Vestmannaeyjar,63.44,-20.27,6.41,72,64,12.07,IS,1589704977
202,Puerto Escondido,15.85,-97.07,27.68,70,20,3.19,MX,1589704977
203,Dusetos,55.75,25.85,9.62,63,66,6.27,LT,1589704977
204,Haines Junction,60.75,-137.51,8.44,70,100,0.73,CA,1589704978
205,Kahului,20.89,-156.47,25.0,73,20,7.7,US,1589704729
206,Province of Trapani,37.83,12.67,23.89,88,40,3.6,IT,1589704978
207,Kidal,18.44,1.41,37.79,10,61,7.04,ML,1589704978
208,Coahuayana Viejo,18.73,-103.68,21.18,49,0,1.45,MX,1589704979
209,Port Hawkesbury,45.62,-61.35,2.22,93,1,4.6,CA,1589704979
210,Fareydūnshahr,32.94,50.12,20.39,24,0,1.96,IR,1589704979
211,Tonj,7.27,28.68,35.49,44,98,0.79,SS,1589704979
212,Moberly,39.42,-92.44,18.89,94,100,1.79,US,1589704980
213,Souillac,-20.52,57.52,27.0,69,20,4.1,MU,1589704980
214,Morón,-34.65,-58.62,17.22,80,12,3.05,AR,1589704980
215,Khasan,42.43,130.64,9.54,97,100,4.75,RU,1589704980
216,Lingyuan,41.24,119.4,20.72,23,100,5.78,CN,1589704804
217,Mopipi,-21.18,24.88,22.2,42,74,7.27,BW,1589704981
218,Abhā,18.22,42.51,29.0,27,20,3.1,SA,1589704924
219,Pinawa,50.15,-95.88,8.9,86,56,2.26,CA,1589704981
220,Khovu-Aksy,51.13,93.6,19.66,38,51,2.12,RU,1589704982
221,Provideniya,64.38,-173.3,1.3,85,98,2.98,RU,1589704982
222,Isangel,-19.55,169.27,21.82,77,88,3.98,VU,1589704982
223,Wanning,18.8,110.4,30.26,68,68,6.99,CN,1589704982
224,Astoria,46.19,-123.83,12.0,93,90,4.1,US,1589704982
225,Zwedru,6.07,-8.13,27.69,77,61,1.3,LR,1589704983
226,Chokurdakh,70.63,147.92,-0.5,98,0,3.91,RU,1589704983
227,Lüderitz,-26.65,15.16,21.0,46,0,0.5,NA,1589704983
228,Ketchikan,55.34,-131.65,13.0,81,90,2.1,US,1589704758
229,Porto Walter,-8.27,-72.74,19.73,92,25,0.39,BR,1589704983
230,Carutapera,-1.2,-46.02,22.9,94,87,1.74,BR,1589704984
231,São Filipe,14.9,-24.5,22.53,77,6,4.35,CV,1589704984
232,Chase,50.82,-119.69,10.56,91,93,1.52,CA,1589704984
233,Seoul,37.57,126.98,26.0,69,75,4.6,KR,1589704873
234,Sabana Grande de Boyá,18.95,-69.79,25.0,86,0,0.55,DO,1589704984
235,São João da Barra,-21.64,-41.05,21.73,85,86,0.81,BR,1589704826
236,Nazca,-14.83,-74.95,17.61,68,0,0.23,PE,1589704985
237,Storslett,69.77,21.02,1.99,86,100,3.52,NO,1589704985
238,Nome,64.5,-165.41,8.0,65,90,0.53,US,1589704820
239,Port-Gentil,-0.72,8.78,30.0,79,20,2.6,GA,1589704985
240,Faya,18.39,42.45,29.0,28,41,3.1,SA,1589704986
241,Waipawa,-41.41,175.52,10.0,93,2,1.5,NZ,1589704986
242,Kumul,42.8,93.45,34.63,10,100,2.72,CN,1589704986
243,Eyl,7.98,49.82,34.83,45,13,9.23,SO,1589704986
244,Impfondo,1.64,18.07,31.2,54,62,0.28,CG,1589704987
245,Kiomboi,-4.27,34.37,23.92,58,14,2.87,TZ,1589704987
246,Puerto Quijarro,-17.78,-57.77,14.29,76,0,0.59,BO,1589704987
247,Namtsy,62.72,129.67,19.0,35,30,3.0,RU,1589704987
248,Tilichiki,60.47,166.1,-1.95,97,11,2.52,RU,1589704988
249,Muyezerskiy,63.93,31.65,7.74,56,100,5.47,RU,1589704988
250,Oranjemund,-28.55,16.43,24.26,23,0,2.74,NA,1589704988
251,Dhidhdhoo,6.88,73.1,29.72,76,80,9.52,MV,1589704988
252,Sabang,5.89,95.32,28.82,75,100,6.98,ID,1589704988
253,Hithadhoo,-0.6,73.08,29.39,77,99,10.46,MV,1589704989
255,Bambous Virieux,-20.34,57.76,27.78,69,20,4.1,MU,1589704989
256,Sayyan,15.17,44.32,23.09,21,0,4.31,YE,1589704989
257,Kitimat,54.05,-128.65,13.27,78,100,1.09,CA,1589704989
258,Beya,53.05,90.91,24.96,26,0,2.41,RU,1589704990
259,Beloha,-25.17,45.05,23.71,41,2,5.04,MG,1589704990
260,Pisco,-13.7,-76.22,16.0,82,40,1.5,PE,1589704990
261,Krasnoarmeysk,51.02,45.7,15.28,53,14,7.08,RU,1589704990
262,Kangshan,28.88,116.43,29.21,68,78,1.68,CN,1589704990
263,Kaitangata,-46.28,169.85,8.33,90,0,0.45,NZ,1589704991
264,Crystal Beach,42.87,-79.06,9.44,86,100,4.01,CA,1589704991
